,0,1,2,3,4
111,2013/7/1,The Santorini,562,2017/1/1,1030
112,2013/6/1,Victoria Park Villas,908,2017/3/1,1778
113,2013/6/1,Rivertrees Residences,533,2017/2/1,1062
114,2013/5/1,Bellewaters,331,2017/4/1,812
115,2013/5/1,Bellewoods,341,2017/1/1,742
116,2013/4/1,Highline Residences,1163,2017/1/1,1885
117,2013/4/1,Riverbank @ Fernvale,489,2017/1/1,1006
118,2013/2/1,Commonwealth Towers,883,2017/1/1,1696
119,2013/1/1,Lakeville,651,2017/1/1,1189
120,2013/1/1,The Panorama,790,2017/1/1,1311
